City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Katsuura,JP,2020-08-21 23:47:01,35.13,140.3,84.2,83,20,4.7
214,Paidha,UG,2020-08-21 23:48:13,2.42,30.99,62.13,89,75,4.0
215,Boa Vista,BR,2020-08-21 23:48:14,2.82,-60.67,86.0,66,20,4.7
216,Almirante Tamandare,BR,2020-08-21 23:48:14,-25.32,-49.31,41.0,99,100,1.99
217,Oostrozebeke,BE,2020-08-21 23:48:14,50.92,3.34,64.99,77,26,11.99
218,Kavaratti,IN,2020-08-21 23:46:30,10.57,72.64,81.5,80,100,11.63
219,Karratha,AU,2020-08-21 23:48:03,-20.74,116.85,74.52,24,0,15.1
220,Ridgecrest,US,2020-08-21 23:47:42,35.62,-117.67,109.0,9,0,22.48
221,Praia Da Vitoria,PT,2020-08-21 23:48:15,38.73,-27.07,69.8,88,40,2.64
222,Saravan,AM,2020-08-21 23:48:15,39.72,45.65,77.0,47,1,9.17
223,Sobolevo,RU,2020-08-21 23:48:16,54.43,31.9,50.95,96,31,4.41
224,Hambantota,LK,2020-08-21 23:48:16,6.12,81.12,79.43,82,95,11.77
225,Karwar,IN,2020-08-21 23:48:16,14.8,74.13,78.04,89,100,7.4
226,Adana,TR,2020-08-21 23:48:16,36.98,35.29,78.8,83,40,3.36
227,Oranjemund,NA,2020-08-21 23:48:17,-28.55,16.43,65.52,25,0,11.77
228,Bilma,NE,2020-08-21 23:46:29,18.69,12.92,91.24,40,78,7.45
229,Port Hardy,CA,2020-08-21 23:46:46,50.7,-127.42,60.8,93,90,14.99
230,Moanda,GA,2020-08-21 23:48:17,-1.56,13.22,73.83,84,93,3.33
231,Ketchikan,US,2020-08-21 23:44:51,55.34,-131.65,62.6,82,90,11.41
232,Marzuq,YE,2020-08-21 23:48:18,14.4,46.47,81.95,47,76,6.91
233,Tornio,FI,2020-08-21 23:48:18,65.85,24.15,59.0,93,58,6.93
234,Provideniya,RU,2020-08-21 23:46:37,64.38,-173.3,50.16,87,100,10.36
235,Liverpool,GB,2020-08-21 23:48:18,53.41,-2.98,61.0,82,75,11.41
236,Penzance,GB,2020-08-21 23:48:19,50.12,-5.54,60.8,93,12,21.92
