City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Villa Carlos Paz,AR,-31.42,-64.5,70.0,18,0,21.92,clear sky
169,Shahrud,IR,36.42,54.98,64.26,66,2,14.81,clear sky
170,Catamarca,AR,-28.47,-65.79,73.99,23,29,7.0,scattered clouds
171,Mecca,SA,21.43,39.83,91.54,28,0,4.59,clear sky
172,Lorengau,PG,-2.02,147.27,79.03,79,100,7.83,moderate rain
173,Provideniya,RU,64.38,-173.3,51.8,76,90,2.24,overcast clouds
174,Veseloyarsk,RU,51.28,81.11,58.53,55,96,6.11,overcast clouds
175,Klaksvik,FO,62.23,-6.59,46.4,87,73,6.93,broken clouds
176,Visby,SE,57.64,18.3,64.0,82,25,17.22,scattered clouds
177,Luena,AO,-11.78,19.92,67.33,33,58,4.05,broken clouds
178,Xuddur,SO,4.12,43.89,72.36,70,98,19.33,overcast clouds
179,Uzunovo,RU,54.54,38.62,59.54,79,100,6.38,overcast clouds
180,Alofi,NU,-19.06,-169.92,78.8,74,40,12.75,scattered clouds
181,Arraial Do Cabo,BR,-22.97,-42.03,68.0,68,75,9.17,broken clouds
182,Lashio,MM,22.93,97.75,67.82,99,100,1.41,overcast clouds
183,Kieta,PG,-6.22,155.63,77.49,81,100,5.17,light rain
184,Teguise,ES,29.06,-13.56,75.2,78,20,29.97,few clouds
185,Dingle,PH,11.0,122.67,76.1,88,76,1.43,broken clouds
186,Kaitangata,NZ,-46.28,169.85,52.0,91,93,11.99,overcast clouds
187,San Juan,AR,-31.54,-68.54,69.04,21,0,16.33,clear sky
188,La Rioja,ES,42.25,-2.5,69.8,60,98,3.36,overcast clouds
189,Xingcheng,CN,40.62,120.72,72.81,95,100,4.65,moderate rain
190,Ketchikan,US,55.34,-131.65,57.2,100,90,9.17,light rain
191,Namibe,AO,-15.2,12.15,67.33,84,87,1.21,overcast clouds
192,Shingu,JP,33.73,135.98,74.68,87,2,3.29,clear sky
193,Ugoofaaru,MV,5.67,73.0,83.44,70,74,6.13,light rain
194,Palmer,US,42.16,-72.33,90.0,40,75,6.93,broken clouds
195,Bobo Dioulasso,BF,11.18,-4.3,77.0,88,20,4.7,few clouds
196,Nasturelu,RO,43.67,25.47,73.99,53,10,7.76,clear sky
197,Vaini,TO,-21.2,-175.2,77.0,88,20,9.17,few clouds
198,Asyut,EG,27.18,31.18,86.0,37,0,11.41,clear sky
199,Mahebourg,MU,-20.41,57.7,71.6,73,40,18.34,scattered clouds
200,Marsh Harbour,BS,26.54,-77.06,85.39,76,6,23.82,light rain
201,Jardim,BR,-21.48,-56.14,70.07,67,0,5.3,clear sky
202,Airai,TL,-8.93,125.41,56.84,37,63,4.07,broken clouds
203,Beihai,CN,21.48,109.1,83.46,80,0,10.98,moderate rain
204,Bukowno,PL,50.26,19.46,64.99,87,97,1.59,overcast clouds
205,Benjamin Aceval,PY,-24.97,-57.57,77.0,31,49,11.41,scattered clouds
206,Nikolskoye,RU,59.7,30.79,64.4,77,40,4.47,scattered clouds
207,Bahia Honda,CU,22.9,-83.16,90.12,65,70,4.63,broken clouds
208,Ossora,RU,59.24,163.07,50.47,62,66,2.59,broken clouds
209,Belaya Gora,RU,68.53,146.42,36.73,81,97,8.5,overcast clouds
210,Esperance,AU,-33.87,121.9,48.2,100,40,8.05,scattered clouds
211,Cockburn Town,TC,21.46,-71.14,84.24,81,100,25.75,overcast clouds
212,Mmathubudukwane,BW,-24.6,26.43,57.2,39,0,6.93,clear sky
213,Nhulunbuy,AU,-12.23,136.77,66.2,82,0,5.82,clear sky
214,Ponta Do Sol,PT,32.67,-17.1,73.0,75,0,6.06,clear sky
215,Myra,IT,45.44,12.13,71.6,88,40,12.75,scattered clouds
216,Pacific Grove,US,36.62,-121.92,81.0,60,40,4.7,smoke
217,At-Bashi,KG,41.17,75.81,55.22,38,0,2.51,clear sky
218,Muravlenko,RU,63.79,74.52,52.5,90,100,5.82,overcast clouds
219,Bondo,CD,3.81,23.69,69.69,89,100,1.32,overcast clouds
220,Goldap,PL,54.31,22.3,59.5,87,23,5.75,few clouds
221,Georgetown,MY,5.41,100.34,80.6,94,20,1.66,few clouds
222,Tual,ID,-5.67,132.75,79.03,78,63,17.31,broken clouds
223,Carnarvon,AU,-24.87,113.63,62.6,77,0,14.99,clear sky
224,Tiarei,PF,-17.53,-149.33,80.6,65,20,6.93,few clouds
225,Mananara,MG,-16.17,49.77,67.35,89,80,5.01,light rain
226,Kidal,ML,18.44,1.41,93.47,33,92,6.44,overcast clouds
227,Madimba,TZ,-10.4,40.33,73.4,83,75,6.31,broken clouds
228,Iqaluit,CA,63.75,-68.51,48.2,76,40,4.7,scattered clouds
229,Mount Gambier,AU,-37.83,140.77,37.4,93,75,8.05,broken clouds
230,Shenjiamen,CN,29.96,122.3,80.47,83,0,11.52,clear sky
231,Eenhana,NA,-17.47,16.33,75.2,25,0,4.7,clear sky
232,Westport,US,41.14,-73.36,84.99,62,1,13.87,clear sky
233,Kupang,ID,-10.17,123.58,71.29,63,0,5.61,clear sky
234,Sibay,RU,52.72,58.67,50.36,83,17,5.14,few clouds
235,Te Anau,NZ,-45.42,167.72,40.6,84,97,0.98,overcast clouds
236,Sterling,US,39.01,-77.43,91.0,52,40,10.29,scattered clouds
237,Manono,CD,-7.3,27.42,77.0,40,74,2.46,broken clouds
238,Turayf,SA,31.67,38.66,80.6,34,0,4.7,clear sky
239,Hobyo,SO,5.35,48.53,75.78,78,43,25.03,scattered clouds
240,Kumano,JP,34.34,132.59,77.0,83,20,4.7,few clouds
241,Nuuk,GL,64.18,-51.72,41.0,93,90,4.7,overcast clouds
242,Victor Harbor,AU,-35.57,138.62,41.0,91,78,5.66,broken clouds
