City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Carman,CA,78.01,broken clouds,49.5,-98.0,"Bell Aura Bed, Breakfast & Bistro"
624,Batticaloa,LK,79.56,clear sky,7.71,81.69,Grand Star Guest House
625,Sorong,ID,76.93,broken clouds,-0.88,131.25,The Waigo Hotel
627,Ajdabiya,LY,75.36,clear sky,30.76,20.23,فندق التوجان
633,Matamoros,MX,89.6,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
637,Buchanan,LR,77.0,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
640,Seoul,KR,75.2,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
643,Panacan,PH,80.65,overcast clouds,9.25,118.41,Mom's Place Resort
645,Brooks,CA,75.0,overcast clouds,50.58,-111.89,Heritage Inn Hotel & Convention Centre
646,Los Llanos De Aridane,ES,75.99,few clouds,28.66,-17.92,Valle Aridane
648,Tefe,BR,78.8,broken clouds,-3.35,-64.71,Aracati Hotel
650,Elizabeth City,US,90.0,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
651,Shaoyang,CN,76.75,scattered clouds,27.23,111.45,IU Hotel Shaoyang Xihu Road
653,Matara,LK,77.41,clear sky,5.95,80.54,Amaloh Boutique Resort
656,Asuncion Mita,GT,78.8,moderate rain,14.33,-89.71,Hotel Semillas De Vida
657,Guhagar,IN,79.03,light rain,17.48,73.19,Hotel Seawinds
658,Naze,JP,80.6,moderate rain,28.37,129.48,奄美ポートタワーホテル
659,Tezu,IN,75.69,overcast clouds,27.92,96.17,Circuit House
660,Ramanathapuram,IN,83.32,light rain,9.38,78.83,Golden Residency
662,Karachi,PK,86.0,scattered clouds,24.91,67.08,Hillside Homes
666,Colotlan,MX,81.05,scattered clouds,22.1,-103.27,Hotel Hacienda de los Galvez
671,Esfahan,IR,78.8,clear sky,32.66,51.68,Abbasi Hotel
676,Port Said,EG,82.4,clear sky,31.26,32.28,Aracan Hotel
677,Riberalta,BO,87.53,clear sky,-10.98,-66.1,Hotel Colonial
678,San Juan De La Maguana,DO,77.0,thunderstorm with rain,18.81,-71.23,Hotel Maguana
679,Veraval,IN,81.43,moderate rain,20.9,70.37,Lords Inn Somnath
684,Riohacha,CO,87.8,broken clouds,11.54,-72.91,Hotel Taroa
686,Russell,US,89.6,overcast clouds,32.35,-85.2,Macs
688,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
689,Makakilo City,US,86.0,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
693,Virginia Beach,US,90.0,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
694,Huilong,CN,82.99,clear sky,31.81,121.66,Hilton Garden Inn Qidong
699,Shirgaon,IN,81.34,moderate rain,19.7,72.7,LAXMI GARDEN BEACH RESORT
